event_name,duration,date/time,planned_size
4th UK Ecosystem,300,22.02.2019 18:00:00,10
4th UK Ecosystem,900,23.02.2019 08:00:00,10
4th UK Ecosystem,900,24.02.2019 08:00:00,10
Allstate Global Hackathon,840,26.10.2018 10:00:00,10
Allstate Global Hackathon,840,27.10.2018 10:00:00,10
Allstate Global Hackathon,840,28.10.2018 10:00:00,10
An Evening with Tech,240,28.11.2018 18:00:00,10
Cyberfirst Event,150,26.01.2019 18:30:00,10
Cyberfirst Event,600,26.01.2019 08:30:00,10
EEE Talks - EPS Offer Holding,600,30.03.2019 08:00:00,15
EPS Finance Training,150,26.11.2018 09:00:00,15
EPS Finance Training,150,25.03.2019 09:00:00,15
Final Year Project Showcase 19,540,01.05.2019 09:00:00,10
Health and Wellbeing Seminar,60,15.11.2018 13:00:00,20
L1 CS Scholarship Application,60,08.10.2018 10:00:00,20
MSc EEE Safety Talk,30,25.09.2018 11:30:00,15
MSc Electronics Careers,60,25.09.2018 12:00:00,20
MSc Electronics Careers,60,23.10.2018 12:00:00,20
PGR Induction for New Students,270,09.10.2018 09:30:00,20
PGR Training Hugh Kearns,240,26.02.2019 09:00:00,30
PhD SDP - Ethics Training,180,12.02.2019 09:30:00,30
PhD Training,180,05.12.2018 10:00:00,19
PhD Training Programme,120,27.03.2019 14:00:00,20
Queen,240,08.01.2019 09:00:00,10
Queen,540,07.01.2019 09:00:00,10
SEEECS PhD Training Course,150,04.02.2019 10:00:00,30
SEEECS PhD Training Course,300,08.02.2019 10:00:00,30
4th UK Ecosystem,300,22.02.2019 18:00:00,10
4th UK Ecosystem,900,23.02.2019 08:00:00,10
4th UK Ecosystem,900,24.02.2019 08:00:00,10
6 Week INTO PSE Induction,420,05.08.2019 09:00:00,200
6 Week INTO PSE Induction,420,06.08.2019 09:00:00,200
Allstate STEM Events,120,10.10.2018 15:00:00,70
An Evening with Tech,240,28.11.2018 18:00:00,10
BELFOSS Computing Event,600,12.04.2019 08:00:00,100
