id,day,start_time,end_time,module_code
1,Monday,10:00,11:00,CSC2045
2,Monday,11:00,13:00,CSC2045
3,Monday,13:00,15:00,CSC2043
4,Monday,15:00,16:00,CSC2044
5,Tuesday,9:00,10:00,CSC2047
6,Tuesday,10:00,11:00,CSC2041
7,Tuesday,11:00,12:00,CSC2043
8,Tuesday,13:00,14:00,CSC2044
9,Tuesday,14:00,15:00,CSC2045
10,Tuesday,15:00,17:00,CSC2044
11,Wednesday,9:00,11:00,CSC2046
12,Wednesday,11:00,12:00,CSC2046
13,Wednesday,13:00,15:00,CSC2043
14,Wednesday,15:00,17:00,CSC2040
15,Thursday,9:00,11:00,CSC2046
16,Thursday,12:00,13:00,CSC2040
17,Thursday,13:00,14:00,CSC2041
18,Thursday,14:00,15:00,CSC2011
19,Friday,9:00,11:00,CSC2045
20,Friday,13:00,15:00,CSC2042
21,Friday,15:00,17:00,CSC2042
